,city_name,temperature,humidity,cloudiness,wind_speed,long,lati,country
328,Touros,76.05,91,100,7.81,-35.4608,-5.1989,BR
329,Nyakahanga,57.43,96,100,2.15,31.1414,-1.6033,TZ
330,Lom Sak,94.21,55,20,2.3,101.2422,16.7798,TH
331,Korsakov,42.64,72,94,18.84,142.7813,46.6328,RU
332,Champerico,81.99,70,57,7.9,-91.9167,14.3,GT
333,Winslow,57.38,13,0,10.36,-110.6974,35.0242,US
334,Izhmorskiy,29.12,48,69,6.8,86.6414,56.194,RU
335,Balkanabat,64.76,54,3,3.13,54.3671,39.5108,TM
336,Kidal,79.3,9,4,10.04,1.4078,18.4411,ML
337,Yeppoon,74.98,75,71,25.21,150.7333,-23.1333,AU
338,Sinop Province,54.75,63,6,4.74,34.8709,41.7711,TR
339,Najrān,68.65,27,1,1.32,44.1277,17.4924,SA
340,Mombetsu,57.22,38,0,3.44,143.3525,44.3525,JP
341,Araouane,75.2,13,6,10.56,-3.5265,18.9048,ML
342,Novoil'insk,39.54,18,1,10.47,108.7143,51.6829,RU
343,Vysokogornyy,33.71,97,99,4.99,139.15,50.1167,RU
344,Esperance,67.28,58,9,6.04,121.9,-33.8667,AU
345,Galle,83.14,75,31,6.31,80.217,6.0367,LK
346,Nhulunbuy,90.21,58,40,6.91,136.7667,-12.2333,AU
347,La Santisima Trinidad,75.34,87,43,3.56,-64.9,-14.8333,BO
348,Pilar,75.13,95,22,0.83,-35.9567,-9.5972,BR
349,Maïné Soroa,85.71,15,100,5.88,12.0241,13.2114,NE
350,Arinos,72.46,64,24,1.95,-46.1056,-15.9169,BR
351,Sousse,60.58,77,0,5.75,10.637,35.8254,TN
352,Atar,72.9,30,1,7.7,-13.0499,20.5169,MR
353,Coahuayana Viejo,70.97,83,0,1.41,-103.6833,18.7333,MX
354,Bulgan,39.33,44,52,8.43,103.5347,48.8125,MN
355,Pisco,64.45,94,0,3.44,-76.2167,-13.7,PE
356,Port-Gentil,80.55,82,100,7.67,8.7815,-0.7193,GA
357,Dargaville,64.74,69,62,16.04,173.8833,-35.9333,NZ
358,Bam,77.43,23,3,4.79,58.357,29.106,IR
359,Valjevo,52.79,85,68,7.7,19.8982,44.2751,RS
360,Pangnirtung,4.77,74,15,7.83,-65.7125,66.1451,CA
361,Mogadishu,82.74,74,46,11.5,45.3438,2.0371,SO
362,Ponta do Sol,61.72,67,49,2.48,-17.1,32.6667,PT
363,Sakaiminato,71.53,64,75,4.61,133.2333,35.55,JP
364,Kefamenanu,84.09,50,99,4.99,124.4781,-9.4467,ID
365,Poum,77.94,71,57,8.5,164.0167,-20.2333,NC
366,Sistranda,39.16,82,53,16.67,8.834,63.7256,NO
367,Tuensang,79.27,46,11,4.16,94.8333,26.2833,IN
368,Kahului,80.62,71,40,23.02,-156.47,20.8947,US
369,Río Gallegos,42.85,93,100,1.14,-69.2181,-51.6226,AR
370,Włoszczowa,45.66,89,3,3.15,19.9659,50.8526,PL
371,Port Lincoln,67.86,72,98,17.6,135.8667,-34.7333,AU
372,Algiers,51.62,66,20,6.91,3.042,36.7525,DZ
373,Fukuechō,73.76,68,40,14.97,128.8419,32.6881,JP
374,Lebu,55.08,86,69,15.32,-73.65,-37.6167,CL
375,Nanortalik,34.93,99,100,6.71,-45.2371,60.1432,GL
376,Vilhena,71.82,94,0,5.75,-60.1458,-12.7406,BR
377,Ruyigi Province,58.84,98,100,2.91,30.3167,-3.45,BI
378,Shelburne,42.24,73,16,14.34,-80.2041,44.0787,CA
379,Abu Dhabi,77.97,87,0,3.44,54.3667,24.4667,AE
380,Darhan,42.12,28,37,6.64,105.9228,49.4867,MN
381,Sept-Îles,34.32,62,0,8.05,-66.3821,50.2001,CA
382,Batabanó,74.01,76,100,16.96,-82.2881,22.7164,CU
383,Auki,83.66,71,95,2.42,160.7034,-8.7676,SB
384,El Tigre,78.21,56,29,12.55,-64.2454,8.8875,VE
385,Puerto Escondido,83.23,69,40,5.75,-97.0667,15.85,MX
386,Luanda,75.42,90,100,5.14,13.2343,-8.8368,AO
387,Tha Bo,91.29,79,40,2.3,102.5814,17.85,TH
388,Aizkraukle,44.53,92,100,9.8,25.2553,56.6048,LV
389,Sorong,86.68,64,83,3.18,131.25,-0.8833,ID
390,Bengkulu,77.95,83,100,2.33,102.2655,-3.8004,ID
391,Topola,42.08,87,38,7.31,20.6825,44.2542,RS
392,Egvekinot,23.7,84,100,2.3,-179.1667,66.3167,RU
393,Tigzirt,56.97,60,0,6.53,4.1198,36.8886,DZ
394,Ancud,52.23,88,100,27.58,-73.8203,-41.8697,CL
395,Talcahuano,55.08,100,100,12.66,-73.1167,-36.7167,CL
396,Datong,72.32,14,89,13.0,113.2914,40.0936,CN
397,Petropavlovsk-Kamchatskiy,43.39,61,75,11.18,158.6483,53.0452,RU
398,Deputatsky,12.79,86,100,3.71,139.9,69.3,RU
399,Olinda,78.53,89,20,5.75,-34.8553,-8.0089,BR
400,Kuznechikha,44.73,80,100,3.06,42.3348,57.2161,RU
401,Makkah al Mukarramah,78.62,58,6,4.0,39.8261,21.4267,SA
402,Raja,75.85,64,100,4.61,25.678,8.4596,SS
403,San Quintín,59.16,77,0,9.35,-115.95,30.4833,MX
404,Sitka,49.89,53,75,13.8,-135.33,57.0531,US
405,Bayan,55.45,25,35,13.73,127.4,46.0833,CN
406,Qidong,66.74,84,39,12.17,121.6561,31.8128,CN
407,Seymchan,26.98,72,100,10.09,152.4333,62.8833,RU
408,Enköping,39.94,88,88,9.46,17.0777,59.6361,SE
